IDDate,ID,Date,DatePlus15,Week,Rank,Total GR,Total GR Rec,Total GR Given,GR AF,TotalKnownDuration,FreqTotalGR,FreqGRRec,FreqGRGiven,FreqGRAF,5mAF,5mAllAdults,Scansperday,FreqAFProx,FreqAllAdultProx
1E52/18/2015,1.00E+05,2/18/15,3/5/15,8,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:27,0,0,0,0,1,2,6,0.166666667,0.333333333
1E52/26/2015,1.00E+05,2/26/15,3/13/15,9,25,0:00:00,0:00:00,0:00:00,0:00:00,0:25:29,0,0,0,0,2,5,6,0.333333333,0.833333333
1E52/27/2015,1.00E+05,2/27/15,3/14/15,9,25,0:00:00,0:00:00,0:00:00,0:00:00,1:01:00,0,0,0,0,0,0,14,0,0
1E52/3/2015,1.00E+05,2/3/15,2/18/15,6,25,0:00:00,0:00:00,0:00:00,0:00:00,0:29:49,0,0,0,0,0,0,6,0,0
1E52/6/2015,1.00E+05,2/6/15,2/21/15,6,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:18,0,0,0,0,0,0,7,0,0
1E52/9/2015,1.00E+05,2/9/15,2/24/15,7,25,0:14:03,0:14:01,0:00:02,0:09:02,0:30:26,0.461664841,0.460569551,0.00109529,0.296823658,3,3,7,0.428571429,0.428571429
1E53/12/2015,1.00E+05,3/12/15,3/27/15,11,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:15,0,0,0,0,0,0,7,0,0
1E53/13/2015,1.00E+05,3/13/15,3/28/15,11,25,0:00:00,0:00:00,0:00:00,0:00:00,0:55:37,0,0,0,0,0,0,13,0,0
1E53/17/2015,1.00E+05,3/17/15,4/1/15,12,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:04,0,0,0,0,0,0,7,0,0
1E53/18/2015,1.00E+05,3/18/15,4/2/15,12,25,0:01:43,0:01:43,0:00:00,0:01:43,0:30:34,0.056161396,0.056161396,0,0.056161396,2,4,7,0.285714286,0.571428571
1E53/19/2015,1.00E+05,3/19/15,4/3/15,12,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:05,0,0,0,0,0,0,7,0,0
1E53/2/2015,1.00E+05,3/2/15,3/17/15,10,25,0:00:00,0:00:00,0:00:00,0:00:00,0:29:33,0,0,0,0,0,0,7,0,0
1E53/20/2015,1.00E+05,3/20/15,4/4/15,12,25,0:00:00,0:00:00,0:00:00,0:00:00,0:31:29,0,0,0,0,19,30,7,2.714285714,4.285714286
1E53/24/2015,1.00E+05,3/24/15,4/8/15,13,25,0:02:34,0:02:34,0:00:00,0:00:00,0:31:22,0.081827843,0.081827843,0,0,9,11,7,1.285714286,1.571428571
1E53/25/2015,1.00E+05,3/25/15,4/9/15,13,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,6,14,7,0.857142857,2
1E53/3/2015,1.00E+05,3/3/15,3/18/15,10,25,0:00:00,0:00:00,0:00:00,0:00:00,0:27:43,0,0,0,0,1,1,6,0.166666667,0.166666667
1E53/5/2015,1.00E+05,3/5/15,3/20/15,10,25,0:00:00,0:00:00,0:00:00,0:00:00,0:45:58,0,0,0,0,2,4,11,0.181818182,0.363636364
1E54/1/2015,1.00E+05,4/1/15,4/16/15,14,25,0:05:56,0:05:56,0:00:00,0:00:00,0:30:03,0.197448697,0.197448697,0,0,0,0,7,0,0
1E54/13/2015,1.00E+05,4/13/15,4/28/15,16,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:11,0,0,0,0,1,2,7,0.142857143,0.285714286
1E54/14/2015,1.00E+05,4/14/15,4/29/15,16,25,0:08:00,0:08:00,0:00:00,0:03:00,0:30:00,0.266666667,0.266666667,0,0.1,5,8,7,0.714285714,1.142857143
1E54/15/2015,1.00E+05,4/15/15,4/30/15,16,25,0:16:56,0:16:56,0:00:00,0:08:34,0:30:06,0.562569214,0.562569214,0,0.284606866,5,6,7,0.714285714,0.857142857
1E54/16/2015,1.00E+05,4/16/15,5/1/15,16,25,0:01:00,0:01:00,0:00:00,0:01:00,0:30:00,0.033333333,0.033333333,0,0.033333333,3,5,7,0.428571429,0.714285714
1E54/2/2015,1.00E+05,4/2/15,4/17/15,14,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:02,0,0,0,0,0,0,7,0,0
1E54/20/2015,1.00E+05,4/20/15,5/5/15,17,25,0:00:00,0:00:00,0:00:00,0:00:00,1:00:45,0,0,0,0,21,28,14,1.5,2
1E54/22/2015,1.00E+05,4/22/15,5/7/15,17,25,0:15:47,0:15:47,0:00:00,0:10:59,0:30:19,0.520615723,0.520615723,0,0.362286971,11,13,7,1.571428571,1.857142857
1E54/23/2015,1.00E+05,4/23/15,5/8/15,17,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:04,0,0,0,0,0,3,7,0,0.428571429
1E54/3/2015,1.00E+05,4/3/15,4/18/15,14,25,0:18:57,0:18:54,0:00:03,0:13:40,1:01:23,0.308715721,0.307901168,0.000814553,0.222644583,8,19,12,0.666666667,1.583333333
1E54/6/2015,1.00E+05,4/6/15,4/21/15,15,25,0:00:00,0:00:00,0:00:00,0:00:00,0:27:06,0,0,0,0,0,0,5,0,0
1E54/7/2015,1.00E+05,4/7/15,4/22/15,15,25,0:28:39,0:28:02,0:00:37,0:27:45,1:30:42,0.315876516,0.309077545,0.006798971,0.305953693,10,12,19,0.526315789,0.631578947
2J92/10/2015,2J9,2/10/15,2/25/15,7,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:58,0,0,0,0,14,17,7,2,2.428571429
2J92/16/2015,2J9,2/16/15,3/3/15,8,29,0:13:25,0:07:53,0:05:32,0:00:00,0:32:18,0.415376677,0.244066047,0.17131063,0,1,3,7,0.142857143,0.428571429
2J92/18/2015,2J9,2/18/15,3/5/15,8,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:08,0,0,0,0,2,4,7,0.285714286,0.571428571
2J92/20/2015,2J9,2/20/15,3/7/15,8,29,0:01:52,0:00:00,0:01:52,0:01:52,1:00:38,0.030786146,0,0.030786146,0.030786146,17,23,14,1.214285714,1.642857143
2J92/23/2015,2J9,2/23/15,3/10/15,9,29,0:00:00,0:00:00,0:00:00,0:00:00,1:00:45,0,0,0,0,12,17,14,0.857142857,1.214285714
2J92/24/2015,2J9,2/24/15,3/11/15,9,29,0:00:00,0:00:00,0:00:00,0:00:00,1:01:04,0,0,0,0,13,15,14,0.928571429,1.071428571
2J93/10/2015,2J9,3/10/15,3/25/15,11,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:24,0,0,0,0,4,5,7,0.571428571,0.714285714
2J93/12/2015,2J9,3/12/15,3/27/15,11,29,0:05:42,0:05:42,0:00:00,0:00:00,0:30:12,0.188741722,0.188741722,0,0,0,0,7,0,0
2J93/13/2015,2J9,3/13/15,3/28/15,11,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:34,0,0,0,0,32,35,7,4.571428571,5
2J93/16/2015,2J9,3/16/15,3/31/15,12,29,0:15:00,0:13:05,0:01:55,0:00:00,1:00:41,0.247184839,0.21560011,0.031584729,0,14,18,14,1,1.285714286
2J93/18/2015,2J9,3/18/15,4/2/15,12,29,0:12:12,0:00:00,0:12:12,0:00:00,0:30:13,0.403750689,0,0.403750689,0,0,0,7,0,0
2J93/20/2015,2J9,3/20/15,4/4/15,12,29,0:07:43,0:07:43,0:00:00,0:00:00,0:31:12,0.24732906,0.24732906,0,0,28,38,7,4,5.428571429
2J93/23/2015,2J9,3/23/15,4/7/15,13,29,0:00:00,0:00:00,0:00:00,0:00:00,0:31:28,0,0,0,0,6,7,7,0.857142857,1
2J93/26/2015,2J9,3/26/15,4/10/15,13,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,3,9,7,0.428571429,1.285714286
2J93/31/2015,2J9,3/31/15,4/15/15,14,29,0:00:50,0:00:50,0:00:00,0:00:00,0:30:05,0.027700831,0.027700831,0,0,1,1,7,0.142857143,0.142857143
2J93/4/2015,2J9,3/4/15,3/19/15,10,29,0:00:00,0:00:00,0:00:00,0:00:00,1:01:14,0,0,0,0,11,17,14,0.785714286,1.214285714
2J93/6/2015,2J9,3/6/15,3/21/15,10,29,0:19:06,0:18:06,0:01:00,0:19:06,1:01:08,0.312431843,0.296074155,0.016357688,0.312431843,21,27,14,1.5,1.928571429
2J94/1/2015,2J9,4/1/15,4/16/15,14,29,0:08:30,0:00:00,0:08:30,0:00:00,0:30:45,0.276422764,0,0.276422764,0,15,18,7,2.142857143,2.571428571
2J94/13/2015,2J9,4/13/15,4/28/15,16,29,0:00:00,0:00:00,0:00:00,0:00:00,0:31:00,0,0,0,0,20,28,7,2.857142857,4
2J94/14/2015,2J9,4/14/15,4/29/15,16,29,0:04:28,0:04:28,0:00:00,0:00:00,1:02:21,0.071638599,0.071638599,0,0,7,10,14,0.5,0.714285714
2J94/15/2015,2J9,4/15/15,4/30/15,16,29,0:14:00,0:08:00,0:06:00,0:00:00,0:30:00,0.466666667,0.266666667,0.2,0,1,2,7,0.142857143,0.285714286
2J94/20/2015,2J9,4/20/15,5/5/15,17,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:30,0,0,0,0,15,19,6,2.5,3.166666667
2J94/21/2015,2J9,4/21/15,5/6/15,17,29,0:00:00,0:00:00,0:00:00,0:00:00,1:00:49,0,0,0,0,12,14,14,0.857142857,1
2J94/22/2015,2J9,4/22/15,5/7/15,17,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:01,0,0,0,0,9,11,7,1.285714286,1.571428571
2J94/3/2015,2J9,4/3/15,4/18/15,14,29,0:00:00,0:00:00,0:00:00,0:00:00,0:30:14,0,0,0,0,19,20,7,2.714285714,2.857142857
2J94/6/2015,2J9,4/6/15,4/21/15,15,29,0:01:14,0:01:14,0:00:00,0:00:00,1:01:09,0.020168983,0.020168983,0,0,29,40,14,2.071428571,2.857142857
2J94/9/2015,2J9,4/9/15,4/24/15,15,29,0:10:01,0:00:00,0:10:01,0:03:18,1:00:33,0.165428021,0,0.165428021,0.054500413,18,21,14,1.285714286,1.5
3I22/17/2015,3I2,2/17/15,3/4/15,8,14,0:00:02,0:00:00,0:00:02,0:00:00,0:44:11,0.000754432,0,0.000754432,0,16,23,9,1.777777778,2.555555556
3I22/18/2015,3I2,2/18/15,3/5/15,8,14,0:07:38,0:07:20,0:00:18,0:07:38,0:30:19,0.251786696,0.241891149,0.009895547,0.251786696,7,10,7,1,1.428571429
3I22/2/2015,3I2,2/2/15,2/17/15,6,14,0:00:02,0:00:02,0:00:00,0:00:02,0:30:43,0.001085187,0.001085187,0,0.001085187,7,9,7,1,1.285714286
3I22/24/2015,3I2,2/24/15,3/11/15,9,14,0:03:37,0:03:37,0:00:00,0:00:00,0:30:22,0.11909989,0.11909989,0,0,1,3,7,0.142857143,0.428571429
3I22/25/2015,3I2,2/25/15,3/12/15,9,14,0:04:22,0:04:22,0:00:00,0:04:22,1:32:16,0.04732659,0.04732659,0,0.04732659,32,39,21,1.523809524,1.857142857
3I22/26/2015,3I2,2/26/15,3/13/15,9,14,0:00:00,0:00:00,0:00:00,0:00:00,0:17:00,0,0,0,0,2,2,4,0.5,0.5
3I22/9/2015,3I2,2/9/15,2/24/15,7,14,0:01:31,0:01:31,0:00:00,0:00:00,0:35:52,0.042286245,0.042286245,0,0,4,4,6,0.666666667,0.666666667
3I23/10/2015,3I2,3/10/15,3/25/15,11,14,0:00:19,0:00:19,0:00:00,0:00:19,0:30:27,0.010399562,0.010399562,0,0.010399562,11,13,7,1.571428571,1.857142857
3I23/11/2015,3I2,3/11/15,3/26/15,11,14,0:08:04,0:04:21,0:03:43,0:08:04,0:30:02,0.268590455,0.144839068,0.123751387,0.268590455,7,7,7,1,1
3I23/13/2015,3I2,3/13/15,3/28/15,11,14,0:07:23,0:07:23,0:00:00,0:07:23,0:30:31,0.241944293,0.241944293,0,0.241944293,25,30,7,3.571428571,4.285714286
3I23/16/2015,3I2,3/16/15,3/31/15,12,14,0:03:30,0:03:30,0:00:00,0:03:30,1:00:45,0.057613169,0.057613169,0,0.057613169,69,82,13,5.307692308,6.307692308
3I23/19/2015,3I2,3/19/15,4/3/15,12,14,0:08:37,0:08:37,0:00:00,0:08:02,1:01:09,0.14091033,0.14091033,0,0.131370946,29,33,13,2.230769231,2.538461538
3I23/2/2015,3I2,3/2/15,3/17/15,10,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:32,0,0,0,0,11,18,7,1.571428571,2.571428571
3I23/23/2015,3I2,3/23/15,4/7/15,13,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,21,28,5,4.2,5.6
3I23/24/2015,3I2,3/24/15,4/8/15,13,14,0:15:59,0:15:20,0:00:39,0:00:00,0:29:53,0.53485778,0.513106525,0.021751255,0,8,11,8,1,1.375
3I23/25/2015,3I2,3/25/15,4/9/15,13,14,0:03:39,0:01:39,0:02:00,0:03:39,0:30:05,0.12132964,0.054847645,0.066481994,0.12132964,1,4,6,0.166666667,0.666666667
3I23/27/2015,3I2,3/27/15,4/11/15,13,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,3,12,7,0.428571429,1.714285714
3I23/3/2015,3I2,3/3/15,3/18/15,10,14,0:01:08,0:01:08,0:00:00,0:00:00,0:30:34,0.037077426,0.037077426,0,0,3,4,7,0.428571429,0.571428571
3I23/31/2015,3I2,3/31/15,4/15/15,14,14,0:20:37,0:03:14,0:17:23,0:20:37,0:30:08,0.684181416,0.107300885,0.576880531,0.684181416,6,8,7,0.857142857,1.142857143
3I23/4/2015,3I2,3/4/15,3/19/15,10,14,0:11:36,0:11:36,0:00:00,0:00:00,0:30:56,0.375,0.375,0,0,20,31,7,2.857142857,4.428571429
3I23/6/2015,3I2,3/6/15,3/21/15,10,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:34,0,0,0,0,4,7,6,0.666666667,1.166666667
3I23/9/2015,3I2,3/9/15,3/24/15,11,14,0:00:00,0:00:00,0:00:00,0:00:00,0:20:51,0,0,0,0,6,10,5,1.2,2
3I24/1/2015,3I2,4/1/15,4/16/15,14,14,0:09:36,0:02:50,0:06:46,0:00:00,0:30:33,0.314238953,0.092744135,0.221494817,0,7,18,7,1,2.571428571
3I24/14/2015,3I2,4/14/15,4/29/15,16,14,0:18:05,0:18:05,0:00:00,0:18:05,1:00:05,0.300970874,0.300970874,0,0.300970874,38,46,14,2.714285714,3.285714286
3I24/15/2015,3I2,4/15/15,4/30/15,16,14,0:03:08,0:03:08,0:00:00,0:03:08,0:30:09,0.10392482,0.10392482,0,0.10392482,5,5,7,0.714285714,0.714285714
3I24/16/2015,3I2,4/16/15,5/1/15,16,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,10,13,7,1.428571429,1.857142857
3I24/20/2015,3I2,4/20/15,5/5/15,17,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:30,0,0,0,0,40,53,7,5.714285714,7.571428571
3I24/21/2015,3I2,4/21/15,5/6/15,17,14,0:08:26,0:06:04,0:02:22,0:04:09,0:30:37,0.275449102,0.198149156,0.077299946,0.135547088,10,10,7,1.428571429,1.428571429
3I24/22/2015,3I2,4/22/15,5/7/15,17,14,0:11:10,0:10:41,0:00:29,0:00:00,1:00:16,0.185287611,0.177267699,0.008019912,0,6,14,13,0.461538462,1.076923077
3I24/3/2015,3I2,4/3/15,4/18/15,14,14,0:10:38,0:10:38,0:00:00,0:00:00,1:00:43,0.175130387,0.175130387,0,0,16,26,14,1.142857143,1.857142857
3I24/6/2015,3I2,4/6/15,4/21/15,15,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:53,0,0,0,0,62,79,7,8.857142857,11.28571429
3I24/7/2015,3I2,4/7/15,4/22/15,15,14,0:14:23,0:03:24,0:10:59,0:03:04,1:00:16,0.238661504,0.056415929,0.182245575,0.050884956,18,29,14,1.285714286,2.071428571
3I24/8/2015,3I2,4/8/15,4/23/15,15,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:05,0,0,0,0,2,2,7,0.285714286,0.285714286
3I24/9/2015,3I2,4/9/15,4/24/15,15,14,0:00:00,0:00:00,0:00:00,0:00:00,0:30:27,0,0,0,0,9,12,7,1.285714286,1.714285714
3I31/16/2015,3I3,1/16/15,1/31/15,3,12,0:12:34,0:12:34,0:00:00,0:00:00,0:45:38,0.275383492,0.275383492,0,0,6,11,10,0.6,1.1
3I31/21/2015,3I3,1/21/15,2/5/15,4,12,0:10:46,0:03:18,0:07:28,0:09:06,0:30:19,0.355140187,0.108851017,0.24628917,0.300164926,6,9,7,0.857142857,1.285714286
3I31/26/2015,3I3,1/26/15,2/10/15,5,12,0:00:00,0:00:00,0:00:00,0:00:00,0:32:10,0,0,0,0,6,6,7,0.857142857,0.857142857
3I31/28/2015,3I3,1/28/15,2/12/15,5,12,0:03:18,0:03:18,0:00:00,0:03:18,1:03:13,0.052201424,0.052201424,0,0.052201424,14,17,13,1.076923077,1.307692308
3I31/30/2015,3I3,1/30/15,2/14/15,5,12,0:34:57,0:29:18,0:05:39,0:14:43,1:31:42,0.381134133,0.319520174,0.061613959,0.160487096,26,33,21,1.238095238,1.571428571
3I32/17/2015,3I3,2/17/15,3/4/15,8,12,0:00:13,0:00:13,0:00:00,0:00:13,0:30:53,0.00701565,0.00701565,0,0.00701565,17,17,7,2.428571429,2.428571429
3I32/18/2015,3I3,2/18/15,3/5/15,8,12,0:08:49,0:08:49,0:00:00,0:08:49,0:30:28,0.289387309,0.289387309,0,0.289387309,6,12,6,1,2
3I32/19/2015,3I3,2/19/15,3/6/15,8,12,0:13:57,0:13:57,0:00:00,0:13:57,0:30:09,0.462686567,0.462686567,0,0.462686567,7,7,7,1,1
3I32/20/2015,3I3,2/20/15,3/7/15,8,12,0:00:00,0:00:00,0:00:00,0:00:00,0:29:04,0,0,0,0,6,11,6,1,1.833333333
3I32/23/2015,3I3,2/23/15,3/10/15,9,12,0:05:47,0:05:47,0:00:00,0:05:47,0:31:01,0.186458893,0.186458893,0,0.186458893,13,13,7,1.857142857,1.857142857
3I32/24/2015,3I3,2/24/15,3/11/15,9,12,0:02:46,0:02:01,0:00:45,0:02:11,0:30:37,0.090364725,0.065868263,0.024496462,0.071311922,10,11,7,1.428571429,1.571428571
3I32/25/2015,3I3,2/25/15,3/12/15,9,12,0:00:06,0:00:00,0:00:06,0:00:00,0:30:14,0.003307607,0,0.003307607,0,7,9,7,1,1.285714286
3I32/26/2015,3I3,2/26/15,3/13/15,9,12,0:01:00,0:01:00,0:00:00,0:01:00,0:31:00,0.032258065,0.032258065,0,0.032258065,25,32,7,3.571428571,4.571428571
3I32/5/2015,3I3,2/5/15,2/20/15,6,12,0:02:56,0:02:06,0:00:50,0:02:56,0:30:12,0.097130243,0.069536424,0.027593819,0.097130243,9,14,7,1.285714286,2
3I32/9/2015,3I3,2/9/15,2/24/15,7,12,0:18:10,0:17:23,0:00:47,0:18:10,1:01:39,0.294674236,0.281968099,0.012706137,0.294674236,16,22,13,1.230769231,1.692307692
3I33/10/2015,3I3,3/10/15,3/25/15,11,12,0:10:50,0:03:59,0:06:51,0:10:50,1:01:13,0.176967057,0.065069426,0.111897631,0.176967057,39,43,14,2.785714286,3.071428571
3I33/13/2015,3I3,3/13/15,3/28/15,11,12,0:00:00,0:00:00,0:00:00,0:00:00,0:30:16,0,0,0,0,7,11,7,1,1.571428571
3I33/17/2015,3I3,3/17/15,4/1/15,12,12,0:33:27,0:22:54,0:10:33,0:33:27,1:34:46,0.352972212,0.241646148,0.111326064,0.352972212,41,62,19,2.157894737,3.263157895
3I33/18/2015,3I3,3/18/15,4/2/15,12,12,0:00:00,0:00:00,0:00:00,0:00:00,0:31:33,0,0,0,0,53,73,8,6.625,9.125
3I33/23/2015,3I3,3/23/15,4/7/15,13,12,0:00:05,0:00:00,0:00:05,0:00:00,0:30:50,0.002702703,0,0.002702703,0,70,85,7,10,12.14285714
3I33/25/2015,3I3,3/25/15,4/9/15,13,12,0:00:00,0:00:00,0:00:00,0:00:00,0:30:13,0,0,0,0,13,25,7,1.857142857,3.571428571
3I33/27/2015,3I3,3/27/15,4/11/15,13,12,0:04:00,0:01:00,0:03:00,0:04:00,0:31:00,0.129032258,0.032258065,0.096774194,0.129032258,43,54,7,6.142857143,7.714285714
3I33/3/2015,3I3,3/3/15,3/18/15,10,12,0:00:00,0:00:00,0:00:00,0:00:00,1:00:40,0,0,0,0,17,23,14,1.214285714,1.642857143
3I33/5/2015,3I3,3/5/15,3/20/15,10,12,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,47,61,7,6.714285714,8.714285714
3I33/6/2015,3I3,3/6/15,3/21/15,10,12,0:00:00,0:00:00,0:00:00,0:00:00,0:29:58,0,0,0,0,5,7,7,0.714285714,1
3I33/9/2015,3I3,3/9/15,3/24/15,11,12,0:23:58,0:23:58,0:00:00,0:06:42,0:30:16,0.79185022,0.79185022,0,0.221365639,15,15,7,2.142857143,2.142857143
3I34/1/2015,3I3,4/1/15,4/16/15,14,12,0:00:00,0:00:00,0:00:00,0:00:00,1:01:04,0,0,0,0,45,52,14,3.214285714,3.714285714
3I34/13/2015,3I3,4/13/15,4/28/15,16,12,0:09:11,0:01:37,0:07:34,0:09:11,0:30:12,0.304083885,0.053532009,0.250551876,0.304083885,11,12,7,1.571428571,1.714285714
3I34/14/2015,3I3,4/14/15,4/29/15,16,12,0:09:00,0:02:00,0:07:00,0:09:00,0:30:00,0.3,0.066666667,0.233333333,0.3,12,13,7,1.714285714,1.857142857
3I34/15/2015,3I3,4/15/15,4/30/15,16,12,0:13:00,0:11:00,0:02:00,0:13:00,0:30:00,0.433333333,0.366666667,0.066666667,0.433333333,13,13,7,1.857142857,1.857142857
3I34/16/2015,3I3,4/16/15,5/1/15,16,12,0:19:19,0:07:00,0:12:19,0:19:19,1:00:17,0.320431297,0.11611833,0.204312967,0.320431297,19,27,14,1.357142857,1.928571429
3I34/2/2015,3I3,4/2/15,4/17/15,14,12,0:00:00,0:00:00,0:00:00,0:00:00,0:30:04,0,0,0,0,15,16,7,2.142857143,2.285714286
3I34/20/2015,3I3,4/20/15,5/5/15,17,12,0:03:39,0:01:48,0:01:51,0:03:23,0:30:05,0.12132964,0.059833795,0.061495845,0.112465374,27,28,7,3.857142857,4
3I34/21/2015,3I3,4/21/15,5/6/15,17,12,0:14:36,0:13:03,0:01:33,0:14:36,1:00:32,0.241189427,0.2155837,0.025605727,0.241189427,20,26,14,1.428571429,1.857142857
3I34/23/2015,3I3,4/23/15,5/8/15,17,12,0:00:53,0:00:36,0:00:17,0:00:17,0:30:56,0.028556034,0.019396552,0.009159483,0.009159483,42,65,7,6,9.285714286
3I34/6/2015,3I3,4/6/15,4/21/15,15,12,0:14:02,0:08:30,0:05:32,0:14:02,1:00:52,0.230558598,0.139649507,0.090909091,0.230558598,34,38,13,2.615384615,2.923076923
3I34/8/2015,3I3,4/8/15,4/23/15,15,12,0:06:27,0:00:00,0:06:27,0:06:27,0:30:39,0.210440457,0,0.210440457,0.210440457,27,30,7,3.857142857,4.285714286
3I34/9/2015,3I3,4/9/15,4/24/15,15,12,0:20:44,0:15:13,0:05:31,0:20:44,0:30:07,0.688433868,0.505257333,0.183176536,0.688433868,11,11,7,1.571428571,1.571428571
3I51/19/2015,3I5,1/19/15,2/3/15,4,13,0:09:05,0:03:13,0:05:52,0:09:05,0:45:49,0.198253911,0.070207348,0.128046562,0.198253911,11,11,10,1.1,1.1
3I51/20/2015,3I5,1/20/15,2/4/15,4,13,0:06:44,0:06:44,0:00:00,0:02:49,0:46:11,0.145795742,0.145795742,0,0.060988813,12,16,10,1.2,1.6
3I51/26/2015,3I5,1/26/15,2/10/15,5,13,0:08:40,0:07:28,0:01:12,0:01:12,0:30:35,0.283378747,0.244141689,0.039237057,0.039237057,18,29,7,2.571428571,4.142857143
3I51/28/2015,3I5,1/28/15,2/12/15,5,13,0:00:00,0:00:00,0:00:00,0:00:00,0:29:47,0,0,0,0,4,7,6,0.666666667,1.166666667
3I51/29/2015,3I5,1/29/15,2/13/15,5,13,0:00:00,0:00:00,0:00:00,0:00:00,0:30:22,0,0,0,0,12,12,7,1.714285714,1.714285714
3I51/30/2015,3I5,1/30/15,2/14/15,5,13,0:00:26,0:00:26,0:00:00,0:00:26,0:54:37,0.007934086,0.007934086,0,0.007934086,9,20,10,0.9,2
3I52/16/2015,3I5,2/16/15,3/3/15,8,13,0:00:00,0:00:00,0:00:00,0:00:00,0:30:26,0,0,0,0,6,6,7,0.857142857,0.857142857
3I52/18/2015,3I5,2/18/15,3/5/15,8,13,0:05:50,0:05:50,0:00:00,0:05:50,0:29:50,0.195530726,0.195530726,0,0.195530726,10,11,7,1.428571429,1.571428571
3I52/19/2015,3I5,2/19/15,3/6/15,8,13,0:10:37,0:10:30,0:00:07,0:08:55,1:02:52,0.168875928,0.167020148,0.001855779,0.141834571,14,15,13,1.076923077,1.153846154
3I52/24/2015,3I5,2/24/15,3/11/15,9,13,0:00:00,0:00:00,0:00:00,0:00:00,1:24:31,0,0,0,0,37,45,19,1.947368421,2.368421053
3I52/25/2015,3I5,2/25/15,3/12/15,9,13,0:00:00,0:00:00,0:00:00,0:00:00,0:29:00,0,0,0,0,2,2,7,0.285714286,0.285714286
3I52/3/2015,3I5,2/3/15,2/18/15,6,13,0:00:00,0:00:00,0:00:00,0:00:00,0:29:56,0,0,0,0,5,8,7,0.714285714,1.142857143
3I52/9/2015,3I5,2/9/15,2/24/15,7,13,0:10:24,0:01:38,0:08:46,0:10:24,0:30:23,0.342292924,0.053757543,0.288535381,0.342292924,9,12,7,1.285714286,1.714285714
3I53/10/2015,3I5,3/10/15,3/25/15,11,13,0:09:50,0:09:50,0:00:00,0:00:00,0:30:31,0.322228291,0.322228291,0,0,14,18,7,2,2.571428571
3I53/11/2015,3I5,3/11/15,3/26/15,11,13,0:00:00,0:00:00,0:00:00,0:00:00,0:30:15,0,0,0,0,10,14,7,1.428571429,2
3I53/12/2015,3I5,3/12/15,3/27/15,11,13,0:06:08,0:02:17,0:03:51,0:06:08,0:30:24,0.201754386,0.075109649,0.126644737,0.201754386,6,7,7,0.857142857,1
3I53/16/2015,3I5,3/16/15,3/31/15,12,13,0:05:33,0:05:33,0:00:00,0:00:00,1:00:34,0.091634562,0.091634562,0,0,15,31,14,1.071428571,2.214285714
3I53/19/2015,3I5,3/19/15,4/3/15,12,13,0:05:43,0:00:00,0:05:43,0:05:43,0:30:39,0.18651441,0,0.18651441,0.18651441,19,26,7,2.714285714,3.714285714
3I53/2/2015,3I5,3/2/15,3/17/15,10,13,0:00:04,0:00:00,0:00:04,0:00:00,0:22:13,0.00300075,0,0.00300075,0,4,7,4,1,1.75
3I53/20/2015,3I5,3/20/15,4/4/15,12,13,0:08:12,0:07:46,0:00:26,0:00:00,0:30:34,0.268266085,0.254089422,0.014176663,0,9,15,7,1.285714286,2.142857143
3I53/23/2015,3I5,3/23/15,4/7/15,13,13,0:15:44,0:10:19,0:05:25,0:00:00,1:31:51,0.171293776,0.112320813,0.058972963,0,23,47,21,1.095238095,2.238095238
3I53/25/2015,3I5,3/25/15,4/9/15,13,13,0:00:00,0:00:00,0:00:00,0:00:00,0:27:45,0,0,0,0,2,5,6,0.333333333,0.833333333
3I53/3/2015,3I5,3/3/15,3/18/15,10,13,0:18:16,0:18:16,0:00:00,0:18:16,0:58:51,0.310393656,0.310393656,0,0.310393656,27,30,13,2.076923077,2.307692308
3I53/30/2015,3I5,3/30/15,4/14/15,14,13,0:16:22,0:16:22,0:00:00,0:00:00,0:30:12,0.541942605,0.541942605,0,0,3,7,7,0.428571429,1
