"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"307","5B242116",380,"5B2",2015-04-22,4,"9:24 AM","CR","12/5/16",10,190,20,10.159,203.18,0.019,10,0.19,270.76408,0.153846154
"308","6I142116",381,"6I1",2015-04-22,4,"8:44 AM","CR","12/5/16",10,190,20,5.984,119.68,0.024,10,0.24,126.2624,0.365384615
"309","6I142116",382,"6I1",2015-04-22,4,"8:56 AM","CR","12/5/16",10,190,20,6.115,122.3,0.013,10,0.13,238.20277,0.365384615
"310","8D642116",383,"8D6",2015-04-22,4,"12:16 PM","CR","12/5/16",10,190,20,20.958,419.16,0.015,10,0.15,707.54208,0.461538462
"311","3I542116",384,"3I5",2015-04-22,4,"12:51 PM","CR","12/5/16",5,95,20,7.642,152.84,0.011,10,0.11,351.80989,0.25
"312","9F942116",385,"9F9",2015-04-22,4,"1:03 PM","CR","12/5/16",10,190,20,12.812,256.24,0.026,10,0.26,249.53834,0.403846154
"313","6I142116",386,"6I1",2015-04-22,4,"1:07 PM","CR","2/15/17",10,90,10,17.985,179.85,0.013,10,0.13,350.29246,0.365384615
"314","3I242116",387,"3I2",2015-04-22,4,"1:13 PM","CR","12/5/16",10,190,20,2.62,52.4,0.007,10,0.07,189.53829,0.269230769
"315","5B242116",388,"5B2",2015-04-22,4,"1:37 PM","CR","12/5/16",10,190,20,18.714,374.28,0.031,10,0.31,305.70225,0.153846154
"316","0J142116",389,"0J1",2015-04-22,4,"10:43 AM","LR","12/5/16",10,190,20,7.809,156.18,0.012,10,0.12,329.5398,0.346153846
"317","3I242116",391,"3I2",2015-04-22,4,"8:39 AM","LR","2/15/17",10,90,10,6.478,64.78,0.013,10,0.13,126.17151,0.269230769
"318","3I242116",392,"3I2",2015-04-22,4,"1:45 PM","LR","12/5/16",10,190,20,4.871,97.42,0.008,10,0.08,308.3343,0.269230769
"319","0J042117",393,"0J0",2015-04-23,4,"8:20 AM","CR","12/5/16",10,190,20,9.215,184.3,0.022,10,0.22,212.11255,0.384615385
"320","0J142117",394,"0J1",2015-04-23,4,"9:36 AM","CR","12/5/16",10,190,20,7.262,145.24,0.011,10,0.11,334.31607,0.346153846
"321","3I242117",395,"3I2",2015-04-23,4,"","LR","12/5/16",10,190,20,10.8,216,0.029,10,0.29,188.59034,0.269230769
"322","0J842117",396,"0J8",2015-04-23,4,"10:55 AM","LR","12/5/16",10,190,20,8.296,165.92,0.016,10,0.16,262.5684,0.615384615
"323","4I842117",397,"4I8",2015-04-23,4,"1:46 PM","CR","12/5/16",5,95,20,109.947,2198.94,0.12,10,1.2,463.97634,0.307692308
"324","6H242119",398,"6H2",2015-04-25,4,"8:56 AM","CR","12/5/16",10,190,20,11.87,237.4,0.014,10,0.14,429.35486,0.326923077
