ID,NEO_SampleNo,NEO_Date,NEO.CR,Behav_Date,DateDiff,Month,Rank,RelRank,TotalObservedTime,Total.GR,Total.GR.Rec,Total.GR.Given,FreqTotalGR,FreqGRRec,FreqGRGiven,ProxAll,Scansperday,FreqAllProx,TotalGRAF,TotalGrAM,TotalGrJuv,FreqGRAF,FreqTotalGrAM,FreqTotalGrJuv,GrRecAF,GrRecAM,GrRecJuv,FreqGrRecAF,FreqGrRecAM,FreqGrRecJuv,TimeSpentCop,TimeSpentConsort,FreqTimeSpentCop,FreqTimeSpentConsort
0J0,270,3/30/15,250.22024,3/30/15,0,3,20,0.384615385,0:30:13,0:01:13,0:01:13,0:00:00,0.040264755,0.040264755,0,13,7,1.857142857,0:01:13,0:00:00,0:00:00,0.040264755,0,0,0:01:13,0:00:00,0:00:00,0.040264755,0,0,0:00:00,0:00:00,0,0
0J0,270,3/30/15,250.22024,4/1/15,2,4,20,0.384615385,1:01:31,0:00:00,0:00:00,0:00:00,0,0,0,69,14,4.928571429,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J0,324,4/13/15,354.56440,4/13/15,0,4,20,0.384615385,0:30:00,0:03:06,0:03:06,0:00:00,0.103333333,0.103333333,0,2,7,0.285714286,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:03:06,0,0,0.103333333,0:00:11,0:00:00,0.006111,0
0J0,344,4/16/15,141.82576,4/16/15,0,4,20,0.384615385,0:30:57,0:02:02,0:00:00,0:02:02,0.065697361,0,0.065697361,19,7,2.714285714,0:02:02,0:00:00,0:00:00,0.065697361,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:24:53,0,0.803985
0J0,393,4/23/15,212.11255,4/23/15,0,4,20,0.384615385,0:30:24,0:00:00,0:00:00,0:00:00,0,0,0,64,7,9.142857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J0,293,4/6/15,444.06216,4/6/15,0,4,20,0.384615385,0:52:14,0:01:44,0:01:44,0:00:00,0.033184429,0.033184429,0,20,12,1.666666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:01:44,0,0,0.033184429,0:00:00,0:00:00,0,0
0J0,306,4/7/15,257.80824,4/8/15,1,4,20,0.384615385,0:30:03,0:00:00,0:00:00,0:00:00,0,0,0,9,7,1.285714286,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,86,2/11/15,351.03648,2/11/15,0,2,18,0.346153846,0:30:33,0:00:00,0:00:00,0:00:00,0,0,0,42,7,6,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:09,0:00:00,0.00491,0
0J1,88,2/16/15,183.43595,2/16/15,0,2,18,0.346153846,1:00:34,0:07:27,0:07:27,0:00:00,0.123004953,0.123004953,0,41,14,2.928571429,0:07:27,0:00:00,0:00:00,0.123004953,0,0,0:07:27,0:00:00,0:00:00,0.123004953,0,0,0:00:36,0:00:00,0.009906,0
0J1,98,2/17/15,193.79928,2/17/15,0,2,18,0.346153846,0:29:39,0:08:49,0:07:38,0:01:11,0.297358066,0.257448005,0.039910062,19,7,2.714285714,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:07:38,0,0,0.257448004,0:00:00,0:00:00,0,0
0J1,106,2/18/15,364.27040,2/18/15,0,2,18,0.346153846,0:30:31,0:02:46,0:02:46,0:00:00,0.090660841,0.090660841,0,20,7,2.857142857,0:02:46,0:00:00,0:00:00,0.090660841,0,0,0:02:46,0:00:00,0:00:00,0.090660841,0,0,0:00:00,0:00:00,0,0
0J1,123,2/23/15,363.37817,2/23/15,0,2,18,0.346153846,0:26:02,0:05:13,0:05:13,0:00:00,0.200384123,0.200384123,0,7,6,1.166666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:05:13,0,0,0.200384123,0:00:15,0:00:00,0.009603,0
0J1,142,2/25/15,235.39604,2/25/15,0,2,18,0.346153846,0:30:58,0:03:23,0:03:23,0:00:00,0.109257266,0.109257266,0,20,7,2.857142857,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:03:23,0,0,0.109257266,0:00:00,0:00:00,0,0
0J1,71,2/5/15,211.73850,2/5/15,0,2,18,0.346153846,0:15:32,0:00:00,0:00:00,0:00:00,0,0,0,14,3,4.666666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:06,0:00:00,0.006438,0
0J1,86,2/11/15,351.03648,2/9/15,-2,2,18,0.346153846,0:30:15,0:11:19,0:11:19,0:00:00,0.374104683,0.374104683,0,29,7,4.142857143,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:04:48,0,0,0.158677686,0:00:00,0:00:00,0,0
0J1,194,3/10/15,38.85173,3/10/15,0,3,18,0.346153846,0:31:42,0:00:00,0:00:00,0:00:00,0,0,0,29,6,4.833333333,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,198,3/11/15,314.43545,3/11/15,0,3,18,0.346153846,1:03:20,0:05:24,0:05:24,0:00:00,0.085263158,0.085263158,0,50,13,3.846153846,0:01:10,0:04:14,0:00:00,0.018421053,0.066842105,0,0:01:10,0:04:14,0:00:00,0.018421053,0.066842105,0,0:00:00,0:16:09,0,0.255
0J1,205,3/16/15,125.61789,3/16/15,0,3,18,0.346153846,1:01:03,0:00:00,0:00:00,0:00:00,0,0,0,168,12,14,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,239,3/23/15,459.98993,3/23/15,0,3,18,0.346153846,1:02:19,0:18:14,0:02:20,0:15:54,0.292591602,0.037443166,0.255148435,68,14,4.857142857,0:18:14,0:00:00,0:00:00,0.292591602,0,0,0:02:20,0:00:00,0:00:00,0.037443166,0,0,0:00:06,0:00:00,0.001605,0
0J1,269,3/30/15,465.03102,3/30/15,0,3,18,0.346153846,0:30:37,0:02:53,0:00:00,0:02:53,0.094175286,0,0.094175286,27,7,3.857142857,0:02:53,0:00:00,0:00:00,0.094175286,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,170,3/4/15,244.36102,3/4/15,0,3,18,0.346153846,0:31:35,0:00:13,0:00:13,0:00:00,0.006860158,0.006860158,0,10,6,1.666666667,0:00:13,0:00:00,0:00:00,0.006860158,0,0,0:00:13,0:00:00,0:00:00,0.006860158,0,0,0:00:00,0:06:21,0,0.201055
0J1,177,3/5/15,552.82000,3/5/15,0,3,18,0.346153846,1:00:54,0:06:19,0:02:47,0:03:32,0.103721949,0.045703339,0.05801861,47,12,3.916666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:02:47,0,0,0.045703339,0:00:00,0:00:00,0,0
0J1,194,3/10/15,38.85173,3/9/15,-1,3,18,0.346153846,0:30:16,0:00:00,0:00:00,0:00:00,0,0,0,56,7,8,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:44,0:00:00,0.024229,0
0J1,323,4/13/15,218.28819,4/13/15,0,4,18,0.346153846,1:01:13,0:00:45,0:00:00,0:00:45,0.012251565,0,0.012251565,166,14,11.85714286,0:00:00,0:00:45,0:00:00,0,0.012251565,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,338,4/15/15,437.46208,4/15/15,0,4,18,0.346153846,0:30:45,0:07:05,0:07:05,0:00:00,0.230352304,0.230352304,0,83,6,13.83333333,0:00:00,0:00:00,0:05:14,0,0,0.170189702,0:00:00,0:00:00,0:07:05,0,0,0.230352304,0:00:00,0:00:00,0,0
0J1,332,4/14/15,250.49920,4/16/15,2,4,18,0.346153846,0:30:05,0:00:00,0:00:00,0:00:00,0,0,0,28,7,4,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,363,4/20/15,538.64080,4/20/15,0,4,18,0.346153846,1:01:07,0:02:44,0:02:44,0:00:00,0.044723207,0.044723207,0,77,14,5.5,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:02:44,0,0,0.044723207,0:00:03,0:00:00,0.000818,0
0J1,374,4/21/15,297.68529,4/21/15,0,4,18,0.346153846,0:19:44,0:00:10,0:00:00,0:00:10,0.008445946,0,0.008445946,5,4,1.25,0:00:10,0:00:00,0:00:00,0.008445946,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,389,4/22/15,329.53980,4/22/15,0,4,18,0.346153846,0:30:12,0:04:57,0:04:33,0:00:24,0.163907285,0.150662252,0.013245033,36,7,5.142857143,0:00:24,0:04:33,0:00:00,0.013245033,0.150662252,0,0:00:00,0:04:33,0:00:00,0,0.150662252,0,0:00:00,0:00:00,0,0
0J1,394,4/23/15,334.31607,4/23/15,0,4,18,0.346153846,0:30:31,0:00:00,0:00:00,0:00:00,0,0,0,35,7,5,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J1,301,4/7/15,300.63280,4/7/15,0,4,18,0.346153846,1:00:38,0:04:11,0:04:11,0:00:00,0.068993953,0.068993953,0,55,13,4.230769231,0:00:00,0:04:11,0:00:00,0,0.068993953,0,0:00:00,0:04:11,0:00:00,0,0.068993953,0,0:00:00,0:00:00,0,0
0J8,101,2/17/15,131.52430,2/18/15,1,2,32,0.615384615,0:31:14,0:07:38,0:05:10,0:02:28,0.244397012,0.165421558,0.078975454,18,7,2.571428571,0:00:50,0:02:28,0:00:00,0.026680896,0.078975454,0,0:00:50,0:00:00,0:04:20,0.026680897,0,0.138740662,0:00:11,0:00:00,0.00587,0
0J8,114,2/19/15,220.42370,2/19/15,0,2,32,0.615384615,0:30:31,0:07:55,0:07:55,0:00:00,0.259421081,0.259421081,0,4,6,0.666666667,0:00:00,0:04:05,0:00:00,0,0.133806663,0,0:00:00,0:04:05,0:03:50,0,0.133806663,0.125614418,0:00:00,0:00:00,0,0
0J8,146,2/26/15,109.60085,2/26/15,0,2,32,0.615384615,1:00:51,0:00:00,0:00:00,0:00:00,0,0,0,17,14,1.214285714,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J8,157,3/2/15,165.42677,3/2/15,0,3,32,0.615384615,0:31:13,0:09:54,0:09:54,0:00:00,0.317138281,0.317138281,0,11,7,1.571428571,0:00:00,0:00:00,0:08:40,0,0,0.277629471,0:00:00,0:00:00,0:09:54,0,0,0.317138281,0:00:36,0:00:00,0.019221,0
0J8,265,3/28/15,140.14295,3/28/15,0,3,32,0.615384615,0:36:05,0:04:08,0:00:00,0:04:08,0.114549654,0,0.114549654,4,7,0.571428571,0:00:00,0:04:08,0:00:00,0,0.114549654,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J8,171,3/4/15,348.30942,3/4/15,0,3,32,0.615384615,0:30:01,0:00:00,0:00:00,0:00:00,0,0,0,5,7,0.714285714,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
0J8,330,4/14/15,360.16089,4/14/15,0,4,32,0.615384615,0:30:26,0:04:23,0:03:08,0:01:15,0.144030668,0.102957284,0.041073384,18,7,2.571428571,0:00:00,0:00:00,0:01:15,0,0,0.041073384,0:00:00,0:00:00,0:03:08,0,0,0.102957284,0:00:00,0:00:00,0,0
0J8,396,4/23/15,262.56840,4/23/15,0,4,32,0.615384615,0:45:30,0:19:28,0:16:18,0:03:10,0.427838828,0.358241758,0.06959707,20,9,2.222222222,0:03:24,0:12:18,0:00:00,0.074725275,0.27032967,0,0:00:00,0:10:50,0:05:28,0,0.238095238,0.12014652,0:00:00,0:00:00,0,0
0J8,316,4/8/15,122.76449,4/8/15,0,4,32,0.615384615,1:00:23,0:11:26,0:01:32,0:09:54,0.189345846,0.02539332,0.163952526,5,13,0.384615385,0:00:00,0:11:26,0:00:00,0,0.189345846,0,0:00:00,0:01:32,0:00:00,0,0.02539332,0,0:00:00,0:00:00,0,0
1E5,94,2/17/15,225.85440,2/17/15,0,2,25,0.480769231,1:00:36,0:00:00,0:00:00,0:00:00,0,0,0,6,14,0.428571429,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
1E5,151,2/27/15,275.32787,2/27/15,0,2,25,0.480769231,1:00:44,0:00:11,0:00:11,0:00:00,0.003018661,0.003018661,0,1,14,0.071428571,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:11,0,0,0.003018661,0:00:00,0:00:00,0,0
1E5,65,2/3/15,194.10836,2/3/15,0,2,25,0.480769231,0:29:49,0:00:00,0:00:00,0:00:00,0,0,0,1,6,0.166666667,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0:00:00,0,0,0,0:00:00,0:00:00,0,0
