ID,GC_SampleNo,GC_Date,GC.final.conc,Behav_Date,DateDiff,Month,Rank,RelRank,TotalObservedTime,Total.GR,Total.GR.Rec,Total.GR.Given,FreqTotalGR,FreqGRRec,FreqGRGiven,ProxAll,ProxAF,ProxAM,ProxJuv,Scansperday,FreqAllProx,FreqAFProx,FreqAMProx,FreqJuvProx,TimeSpentConsort,FreqTimeSpentConsort,TimeSpentCop,FreqTimeSpentCop
0J1,92,2/17/15,800,2/16/15,1,2,18,0.346153846,1:00:34,0:07:27,0:07:27,0:00:00,0.123004953,0.123004953,0,41,14,4,23,14,2.928571429,1,0.285714286,1.642857143,0:00:00,0,0:00:36,0.009906439
0J1,64,2/4/15,518.7096774,2/2/15,2,2,18,0.346153846,0:30:25,0:00:00,0:00:00,0:00:00,0,0,0,20,3,5,12,7,2.857142857,0.428571429,0.714285714,1.714285714,0:00:00,0,0:00:00,0
0J1,75,2/9/15,600,2/9/15,0,2,18,0.346153846,0:30:15,0:11:19,0:11:19,0:00:00,0.374104683,0.374104683,0,29,9,2,18,7,4.142857143,1.285714286,0.285714286,2.571428571,0:00:00,0,0:00:00,0
0J1,177,3/16/15,367.0588235,3/16/15,0,3,18,0.346153846,1:01:03,0:00:00,0:00:00,0:00:00,0,0,0,168,54,14,100,12,14,4.5,1.166666667,8.333333333,0:00:00,0,0:00:00,0
0J1,205,3/23/15,600,3/23/15,0,3,18,0.346153846,1:02:19,0:18:14,0:02:20,0:15:54,0.292591602,0.037443167,0.255148435,68,29,8,31,14,4.857142857,2.071428571,0.571428571,2.214285714,0:00:00,0,0:00:06,0.001604707
0J1,147,3/4/15,673.8461538,3/3/15,1,3,18,0.346153846,0:32:16,0:04:18,0:00:00,0:04:18,0.133264463,0,0.133264463,24,6,2,16,7,3.428571429,0.857142857,0.285714286,2.285714286,0:11:37,0.360021,0:00:46,0.023760331
0J1,227,3/31/15,620.3076923,3/30/15,1,3,18,0.346153846,0:30:37,0:02:53,0:00:00,0:02:53,0.094175286,0,0.094175286,27,11,2,14,7,3.857142857,1.571428571,0.285714286,2,0:00:00,0,0:00:00,0
0J1,172,3/11/15,1028.571429,3/9/15,2,3,18,0.346153846,0:30:16,0:00:00,0:00:00,0:00:00,0,0,0,56,10,9,37,7,8,1.428571429,1.285714286,5.285714286,0:00:00,0,0:00:44,0.024229075
0J8,86,2/10/15,535.3846154,2/10/15,0,2,32,0.615384615,0:29:55,0:00:00,0:00:00,0:00:00,0,0,0,17,2,2,13,7,2.428571429,0.285714286,0.285714286,1.857142857,0:00:00,0,0:00:00,0
0J8,108,2/19/15,232.9411765,2/18/15,1,2,32,0.615384615,0:31:14,0:07:38,0:05:10,0:02:28,0.244397012,0.165421558,0.078975454,18,0,9,8,7,2.571428571,0,1.285714286,1.142857143,0:00:00,0,0:00:11,0.005869797
